stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
2000337,2000337,"Central Station, Platform 17",-33.88400064,151.20689330,,200060,1,Level 1,17
2000343,2000343,"Central Station, Platform 23",-33.88426398,151.20735997,,200060,1,Level 1,23
2000467,2000467,"Central Station, Platform 27",-33.88414242,151.20643575,,200060,1,Level -3,
204471,204471,"Sydenham Station, Platform 1",-33.91370658,151.16719220,,204420,1,Level 0,1
2135237,2135237,"Strathfield Station, Platform 7",-33.87165110,151.09383097,,213510,1,Level 0,7
2142323,2142323,"Granville Station, Platform 3",-33.83297483,151.01211637,,214240,1,Level 0,3
216762,216762,"Glenfield Station, Platform 2",-33.97247014,150.89274323,,216710,1,Level 0,2
2205102,2205102,"Turrella Station, Platform 2",-33.92988223,151.14018058,,220530,1,Level -1,2
2205112,2205112,"Wolli Creek Station, Platform 2",-33.92859572,151.15427780,,220510,1,Level -2,2
2207272,2207272,"Bardwell Park Station, Platform 2",-33.93154303,151.12508485,,220710,2,Level -1,2
2209142,2209142,"Beverly Hills Station, Platform 2",-33.94909583,151.08106455,,220910,1,Level -1,2
2209152,2209152,"Narwee Station, Platform 2",-33.94765571,151.07042193,,220920,1,Level 1,2
2210322,2210322,"Riverwood Station, Platform 2",-33.95151015,151.05221421,,221010,1,Level -1,2
2211142,2211142,"Padstow Station, Platform 2",-33.95193929,151.03231825,,221110,1,Level -1,2
2212163,2212163,"Revesby Station, Platform 3",-33.95255880,151.01504750,,221210,1,Level 0,3
2113341,2113341,"Macquarie Park Station, Platform 1",-33.78498208,151.12833711,,211340,1,Level -3,1
2113351,2113351,"Macquarie University Station, Platform 1",-33.77759575,151.11831444,,211310,1,Level -3,1
2153402,2153402,"Bella Vista Station, Platform 1",-33.73069803,150.94412269,,2153478,1,Level -1,1
2153404,2153404,"Norwest Station, Platform 1",-33.73428249,150.96385134,,2153477,1,Level -2,1
2154262,2154262,"Castle Hill Station, Platform 1",-33.73146885,151.00768022,,2154391,1,Level -2,1
